Episode,Reward,Pre,True,Probabilities,Steps,T
0.0,887.4608150469996,0.0,0.0,0.037518441677093506,1000.0,0.010877199411392213
1.0,928.9999999999875,0.0,0.0,0.002866774331778288,710.0,0.00972819126827616
2.0,194.4731343283584,1.0,1.0,0.9999794960021973,10.0,0.010225427535272414
3.0,929.0999999999934,0.0,0.0,0.0030999162700027227,709.0,0.010710039327107632
4.0,929.5999999999876,0.0,0.0,0.0019097395706921816,704.0,0.010375333441929384
5.0,253.557750759878,1.0,1.0,0.9999861717224121,9.0,0.009635207358371006
6.0,53.21408450704263,1.0,1.0,0.9999915361404419,9.0,0.008463808575516226
7.0,874.9216300940219,0.0,0.0,0.010314076207578182,1000.0,0.009431987524032593
8.0,104.8075697211159,1.0,1.0,0.9999980926513672,10.0,0.008305013179779053
9.0,924.5999999999858,0.0,0.0,0.005709758028388023,754.0,0.009120777684118134
10.0,922.1999999999933,0.0,0.0,0.003804405452683568,778.0,0.010008552999913232
11.0,80.21119691119748,1.0,1.0,0.9999228715896606,21.0,0.010155768621535529
12.0,314.04521452145076,1.0,1.0,0.9999840259552002,7.0,0.011368067476761903
13.0,927.5999999999905,0.0,0.0,0.0020611423533409834,724.0,0.011466308193312166
14.0,893.220338983034,0.0,0.0,0.0032276746351271868,1000.0,0.011279349565505982
15.0,920.8999999999891,0.0,0.0,0.0028318401891738176,791.0,0.011086003970255894
16.0,36.30274914089378,1.0,1.0,0.9999986886978149,8.0,0.009324909845987956
17.0,409.3172757475037,1.0,1.0,0.9999678134918213,10.0,0.01019534939213803
18.0,874.4408945686755,0.0,0.0,0.01129323709756136,1000.0,0.009490648746490478
19.0,551.2428571428492,1.0,1.0,0.9999954700469971,11.0,0.009592890016960376
20.0,253.92051282051267,1.0,1.0,0.9999961853027344,8.0,0.00907579590292538
21.0,208.1366863905331,1.0,1.0,0.999782145023346,21.0,0.009198790751628994
22.0,508.36666666665985,1.0,1.0,0.9999982118606567,8.0,0.00982410246378755
23.0,243.89999999999958,1.0,1.0,0.9999904632568359,9.0,0.009920707879922329
24.0,324.95228758169753,1.0,1.0,0.9999756813049316,10.0,0.010562359070291325
25.0,919.2999999999815,0.0,0.0,0.007418341469019651,807.0,0.012199199480342747
26.0,931.3999999999874,0.0,0.0,0.0016991703305393457,686.0,0.012177158375175632
27.0,474.7233766233718,1.0,1.0,0.9999772310256958,8.0,0.012651298596308782
28.0,531.6999999999929,1.0,1.0,0.9999953508377075,9.0,0.010850353189785706
29.0,42.775601374570755,1.0,1.0,0.9999979734420776,8.0,0.009264961465612634
30.0,917.9999999999897,0.0,0.0,0.010412524454295635,820.0,0.009405049172843375
31.0,432.34233576642043,1.0,1.0,0.9999867677688599,8.0,0.00900361559412501
32.0,923.0999999999883,0.0,0.0,0.004623751621693373,769.0,0.009184937483312559
33.0,468.0409893992901,1.0,1.0,0.9999914169311523,15.0,0.00914035931324908
34.0,497.37950310558244,1.0,1.0,0.9999856948852539,10.0,0.009257855497557541
35.0,799.1309764309622,1.0,1.0,0.999958872795105,11.0,0.009757565589530216
36.0,808.2034482758464,1.0,1.0,0.9999966621398926,12.0,0.01046836628633387
37.0,373.02051282051036,1.0,1.0,0.999994158744812,9.0,0.01118059325636479
38.0,886.7109634551376,0.0,0.0,0.03968492150306702,1000.0,0.012617857933044433
39.0,178.02891566265146,1.0,1.0,0.9999951124191284,10.0,0.012250027152051698
40.0,212.0113772455088,1.0,1.0,0.999950647354126,16.0,0.011574503816204307
41.0,490.1908496731962,1.0,1.0,0.9999971389770508,16.0,0.010135773173923598
42.0,49.877738515901314,1.0,1.0,0.9999605417251587,9.0,0.008489657033440526
43.0,883.4983498349712,1.0,0.0,0.5098080039024353,1000.0,0.0094459125995636
44.0,364.0939828080207,1.0,1.0,0.9999966621398926,9.0,0.01040758725811855
45.0,887.2611464967933,0.0,0.0,0.009899765253067017,1000.0,0.00995664668083191
46.0,511.16666666665935,1.0,1.0,0.9999960660934448,9.0,0.009281853548914408
47.0,48.02252559727006,1.0,1.0,0.999996542930603,10.0,0.00859680265750525
48.0,928.0999999999858,0.0,0.0,0.0021096719428896904,719.0,0.009370865178539292
49.0,261.4535168195714,1.0,1.0,0.9998859167098999,17.0,0.00924956469246037
50.0,923.7999999999846,0.0,0.0,0.002436680719256401,762.0,0.010326112662087588
51.0,922.9999999999856,0.0,0.0,0.003967361990362406,770.0,0.012590959784272429
52.0,260.3333333333319,1.0,1.0,0.9999170303344727,18.0,0.012247837562215293
53.0,791.5714285714123,1.0,1.0,0.9999951124191284,14.0,0.01154857497538272
54.0,922.4999999999831,0.0,0.0,0.0028915326111018658,775.0,0.010424006677442981
55.0,919.7999999999869,0.0,0.0,0.009935026057064533,802.0,0.00990374456914583
56.0,373.9492211837975,1.0,1.0,0.9996932744979858,18.0,0.009597225949682039
57.0,256.9551724137913,1.0,1.0,0.9999905824661255,7.0,0.009006056843734369
58.0,58.65773195876321,1.0,1.0,0.999984622001648,10.0,0.008496357295327557
59.0,923.6999999999839,0.0,0.0,0.0024584655184298754,763.0,0.00924271524811791
60.0,274.03606557376924,1.0,1.0,0.999997615814209,7.0,0.008997475536420817
61.0,512.3419354838674,1.0,1.0,0.9999939203262329,8.0,0.00927481866097665
62.0,55.93284671532891,1.0,1.0,0.9999986886978149,9.0,0.008422339797779253
63.0,346.67137546468155,1.0,1.0,0.9999951124191284,11.0,0.008803001216711724
64.0,896.4412811387743,0.0,0.0,0.011939478106796741,1000.0,0.01057532024383545
65.0,926.799999999995,0.0,0.0,0.0013223434798419476,732.0,0.012551859754030822
66.0,927.5999999999906,0.0,0.0,0.0019275296945124865,724.0,0.013058103909150014
67.0,259.530769230769,1.0,1.0,0.9999978542327881,9.0,0.01131396595088915
68.0,622.2615384615307,1.0,1.0,0.9892290830612183,23.0,0.010460816896878757
69.0,886.531986531967,0.0,0.0,0.0027082720771431923,1000.0,0.009335843801498413
70.0,936.599999999995,0.0,0.0,0.005305114667862654,634.0,0.008998919736699727
71.0,497.4657980455962,1.0,1.0,0.9999938011169434,12.0,0.009345516039130869
72.0,69.67992831541255,1.0,1.0,0.9999803304672241,15.0,0.00853441868509565
73.0,101.87378277153584,1.0,1.0,0.9999982118606567,9.0,0.008508098622163137
74.0,925.3999999999837,0.0,0.0,0.0024893663357943296,746.0,0.010121417429108402
75.0,896.6442953019936,0.0,0.0,0.011744690127670765,1000.0,0.010014616012573242
76.0,293.06183745582956,1.0,1.0,0.9999874830245972,9.0,0.009040718822810002
77.0,926.8999999999862,0.0,0.0,0.001821802114136517,731.0,0.010738719178289786
78.0,384.2559006211133,1.0,1.0,0.9999977350234985,14.0,0.011598385727481801
79.0,67.96701030927866,1.0,1.0,0.9999310970306396,20.0,0.010831248288774221
80.0,892.8825622775644,0.0,0.0,0.01117534376680851,1000.0,0.011278213024139404
81.0,926.199999999995,0.0,0.0,0.0034548297990113497,738.0,0.009063850573407925
82.0,931.8999999999925,0.0,0.0,0.0037341834977269173,681.0,0.009034743217994813
83.0,72.09090909090943,1.0,1.0,0.9999940395355225,10.0,0.008396869514420716
84.0,316.30824742267873,1.0,1.0,0.999987006187439,11.0,0.008987929731766807
85.0,49.89400749063694,1.0,1.0,0.9999985694885254,9.0,0.008252251942952473
86.0,223.34927536231845,1.0,1.0,0.9999964237213135,7.0,0.008892594499790922
87.0,502.75762081783887,1.0,1.0,0.9999942779541016,11.0,0.009970915840164853
88.0,367.47620817843585,1.0,1.0,0.9999953508377075,10.0,0.009871543389964477
89.0,21.661589403973807,1.0,1.0,0.9999988079071045,9.0,0.009378968829840002
90.0,268.4270270270264,1.0,1.0,0.9999468326568604,14.0,0.010001520021025435
91.0,924.8999999999849,0.0,0.0,0.0035040262155234814,751.0,0.009395343485907136
92.0,201.41972318339094,1.0,1.0,0.9999293088912964,19.0,0.008971715495534186
93.0,231.124050632911,1.0,1.0,0.999975323677063,9.0,0.00930775697470436
94.0,61.19172932330875,1.0,1.0,0.9999960660934448,9.0,0.009195465307969313
95.0,66.24648829431504,1.0,1.0,0.9999871253967285,10.0,0.009839649950520377
